epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,784.291,0.30789,4.17581,1.16317,0.45237,0.15417,0.00997,0.00623,0.88163,35.9525,1.25254,0.0700746,0.00332504,0.00332504
2,1526.98,0.29828,3.12688,1.14413,0.10564,0.33833,0.04391,0.03732,1.85706,12.8965,2.29075,0.0399428,0.00652654,0.00652654
3,2250.27,0.22531,2.90076,1.05593,0.61724,0.30833,0.07208,0.05732,0.64394,3.87227,0.8893,0.00967896,0.00959604,0.00959604
4,2969.53,0.18843,2.64137,1.01892,0.04272,0.56787,0.06477,0.0592,0.46476,3.61002,0.81973,0.009406,0.009406,0.009406
5,3689.1,0.14039,2.44451,0.98095,0.51766,0.31278,0.06438,0.05743,0.37768,3.05488,0.60099,0.009208,0.009208,0.009208
6,4407.66,0.14714,2.45956,0.98753,0.02477,0.98148,0.07108,0.06325,0.49275,2.53583,0.71294,0.00901,0.00901,0.00901
7,5126.89,0.15041,2.37012,0.98441,0.04452,0.97639,0.07371,0.07024,0.38334,2.51917,0.60344,0.008812,0.008812,0.008812
8,5850.74,0.12857,2.34522,0.96469,0.03974,0.99861,0.07424,0.06912,0.3038,2.48707,0.48491,0.008614,0.008614,0.008614
9,6571.5,0.10513,2.33552,0.95088,0.03156,0.92991,0.07032,0.06639,0.51083,2.85285,0.90625,0.008416,0.008416,0.008416
10,7292.01,0.09494,2.33296,0.93577,0.0405,0.99583,0.07868,0.07527,0.33364,2.46467,0.48458,0.008218,0.008218,0.008218
11,8011.52,0.08526,2.29179,0.9279,0.04595,1,0.07213,0.07157,0.29487,2.4217,0.46122,0.00802,0.00802,0.00802
12,8731.57,0.08341,2.24596,0.92684,0.04678,1,0.07325,0.07002,0.3183,2.4553,0.46772,0.007822,0.007822,0.007822
13,9454.48,0.07386,2.24026,0.91962,0.03659,0.99861,0.08028,0.07425,0.36455,2.40165,0.54278,0.007624,0.007624,0.007624
