epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1155.57,2.48347,4.11591,2.39452,6e-05,0.04712,8e-05,2e-05,3.1333,6.39552,3.15374,0.0550257,0.00499714,0.00499714
2,2253.73,2.40602,4.50291,2.35387,9e-05,0.0694,0.0001,3e-05,2.76218,5.83562,2.68108,0.00982777,0.0097992,0.0097992
3,3366.18,2.28828,4.46919,2.25581,0.00043,0.10774,0.00063,0.00016,2.57418,5.79444,2.49053,0.009604,0.009604,0.009604
4,4442.21,2.22478,4.44324,2.13387,0.00095,0.1073,0.00138,0.0004,2.37232,5.02695,2.29702,0.009406,0.009406,0.009406
5,5345.1,2.18072,4.21458,2.07691,0.00209,0.11489,0.00285,0.00092,2.33598,5.09681,2.18422,0.009208,0.009208,0.009208
6,6452.83,2.13848,4.18904,2.09645,0.00318,0.15836,0.00326,0.00105,2.35913,4.59934,2.31492,0.00901,0.00901,0.00901
7,7529.12,2.07951,4.0791,2.0215,0.00187,0.12293,0.00147,0.0006,2.21574,4.71845,2.10729,0.008812,0.008812,0.008812
8,8773.87,2.05846,3.99708,2.02058,0.00584,0.19551,0.00692,0.00263,2.24469,4.46883,2.25003,0.008614,0.008614,0.008614
9,9762.16,2.06277,3.98023,2.04544,0.00374,0.1808,0.00455,0.00168,2.21701,4.56255,2.26225,0.008416,0.008416,0.008416
10,10685,2.03328,4.05618,1.99996,0.00343,0.21798,0.00589,0.00206,2.17353,4.55319,2.21105,0.008218,0.008218,0.008218
11,11637.3,1.9923,4.02375,1.96438,0.00205,0.20805,0.00365,0.00138,2.19231,4.9186,2.10998,0.00802,0.00802,0.00802
12,12629.6,1.98039,3.98691,1.94688,0.00316,0.21344,0.01469,0.00627,2.15948,4.57181,2.13615,0.007822,0.007822,0.007822
13,13617.3,1.96823,3.84362,1.92373,0.00287,0.27547,0.01341,0.00554,2.0884,4.01099,2.10476,0.007624,0.007624,0.007624
14,14571.8,1.9536,3.95592,1.90542,0.00341,0.26686,0.01056,0.0044,2.08597,4.12869,2.08328,0.007426,0.007426,0.007426
15,15509,1.93579,3.91256,1.92722,0.00235,0.2644,0.00632,0.00258,2.04429,4.05291,2.00912,0.007228,0.007228,0.007228
16,16406.3,1.91252,3.86447,1.89571,0.00531,0.34643,0.02014,0.00811,2.05531,3.85575,2.06023,0.00703,0.00703,0.00703
17,17365.9,1.9291,3.77844,1.8971,0.00155,0.29082,0.01009,0.00373,2.07854,4.00453,2.04709,0.006832,0.006832,0.006832
18,18253.7,1.91044,3.78774,1.85953,0.00324,0.37024,0.01557,0.00634,2.08215,3.99443,2.05595,0.006634,0.006634,0.006634
19,19203.1,1.90031,3.72835,1.89214,0.00404,0.372,0.02048,0.00975,2.0972,3.75648,2.0481,0.006436,0.006436,0.006436
20,20089.2,1.88557,3.67928,1.86491,0.58742,0.03472,0.02634,0.01211,2.07695,3.69687,2.00293,0.006238,0.006238,0.006238
21,20942.7,1.89712,3.72691,1.88644,0.71514,0.06791,0.02969,0.01213,2.04161,3.8245,2.03376,0.00604,0.00604,0.00604
22,21819,1.87403,3.70486,1.85426,0.65198,0.06048,0.03233,0.01484,1.99275,3.57828,1.93545,0.005842,0.005842,0.005842
23,22698,1.87568,3.61395,1.83252,0.47987,0.03667,0.01161,0.00508,2.00111,3.71476,1.94148,0.005644,0.005644,0.005644
24,23695.8,1.84778,3.6393,1.82787,0.62461,0.02731,0.02286,0.01003,2.0311,3.47878,1.9801,0.005446,0.005446,0.005446
25,24638.7,1.8663,3.49403,1.8332,0.71685,0.04801,0.02775,0.01195,2.07066,3.68237,2.01137,0.005248,0.005248,0.005248
26,25488.7,1.85173,3.58025,1.84868,0.63105,0.04458,0.02376,0.01117,2.04144,3.52262,1.97534,0.00505,0.00505,0.00505
27,26338.6,1.83192,3.55035,1.80793,0.70076,0.02943,0.03133,0.01491,1.96904,3.33127,1.91831,0.004852,0.004852,0.004852
28,27215,1.81761,3.48798,1.7948,0.52968,0.03471,0.03818,0.01905,2.07728,3.40364,2.01076,0.004654,0.004654,0.004654
